Construction Type,New Construction,Elevator,Floors In The Building,Floor Area,Number Of Rooms,Number Of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Children Are Welcome,Pets Allowed,Utility Payments,Duration,Date (Year),Date (Month),Date (Day),Amenities (Status),Appliances (Status),Parking (Status),Price (Usd/Month),Address (Street Types),Address (City/Town)
Monolith,Yes,Yes,16.0,70.0,3.0,1.0,2.0,8.0,Not Available,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1690.0,Komitas Avenue,Yerevan
Monolith,Yes,Yes,16.0,100.0,3.0,2.0,3.0,9.0,Not Available,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,2000.0,Gulakyan Street,Yerevan
Panels,No,No,5.0,40.0,1.0,1.0,2.0,3.0,Not Available,Available,Cosmetic Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1040.0,Kievyan Street,Yerevan
Stone,No,No,5.0,32.0,1.0,1.0,2.0,1.0,Not Available,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,780.0,Halabyan Street,Yerevan
Monolith,Yes,Yes,8.0,45.0,1.0,1.0,3.0,8.0,Not Available,Available,Euro Renovation,10.0,10.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,702.0,Magaryan Street,Yerevan
Monolith,Yes,Yes,6.0,50.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,910.0,Shinararner Street,Yerevan
Stone,No,No,4.0,76.0,3.0,1.0,2.0,2.0,Closed Balcony,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,780.0,Magaryan Street,Yerevan
Stone,No,No,5.0,30.0,1.0,1.0,2.0,1.0,Not Available,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,780.0,Shinararner Street,Yerevan
Stone,No,No,5.0,54.0,2.0,1.0,2.0,1.0,Closed Balcony,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1040.0,Leningradyan Street,Yerevan
Stone,No,No,4.0,90.0,3.0,1.0,2.0,3.0,Open Balcony,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1040.0,Halabyan Street,Yerevan
Monolith,Yes,Yes,9.0,52.0,2.0,1.0,3.0,5.0,Not Available,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Yervand Kochar Street,Yerevan
Monolith,Yes,Yes,9.0,50.0,2.0,1.0,2.0,6.0,Open Balcony,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Sebastia Street,Yerevan
Stone,No,No,5.0,36.0,1.0,1.0,2.0,1.0,Not Available,Available,Euro Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,780.0,Magaryan Street,Yerevan
Stone,No,No,4.0,60.0,2.0,1.0,2.0,2.0,Not Available,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,800.0,Leningradyan Street,Yerevan
Panels,No,No,5.0,40.0,1.0,1.0,2.0,1.0,Not Available,Available,Euro Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,800.0,Halabyan Street,Yerevan
Monolith,Yes,Yes,8.0,45.0,2.0,1.0,3.0,5.0,Not Available,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1040.0,Sisakyan Street,Yerevan
Monolith,Yes,Yes,14.0,60.0,2.0,1.0,3.0,11.0,Open Balcony,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1170.0,Shinararner Street,Yerevan
Monolith,Yes,Yes,16.0,70.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Designer Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,800.0,Anastas Mikoyan Street,Yerevan
Stone,No,No,3.0,48.0,2.0,1.0,2.0,1.0,Closed Balcony,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,598.0,Komitas Avenue,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,2.0,4.0,Open Balcony,Available,Cosmetic Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,650.0,Nairi Zaryan Street,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,3.0,4.0,Closed Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,598.0,Komitas Avenue,Yerevan
Panels,No,No,9.0,40.0,2.0,1.0,2.0,6.0,Closed Balcony,Available,Cosmetic Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,650.0,Komitas Avenue,Yerevan
Stone,No,No,2.0,60.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,572.0,Aram Khachatryan Street,Yerevan
Stone,No,No,4.0,50.0,2.0,1.0,3.0,4.0,Not Available,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,650.0,Komitas Avenue,Yerevan
Stone,No,No,5.0,36.0,1.0,1.0,3.0,5.0,Open Balcony,Available,Euro Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,702.0,Komitas Avenue,Yerevan
Stone,No,No,5.0,33.0,1.0,1.0,2.0,4.0,Open Balcony,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,572.0,Vagharsh Vagharshyan Street,Yerevan
Stone,No,No,5.0,32.0,1.0,1.0,2.0,2.0,Open Balcony,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,728.0,Komitas Avenue,Yerevan
Stone,No,No,5.0,29.0,1.0,1.0,2.0,3.0,Open Balcony,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,780.0,Komitas Avenue,Yerevan
Monolith,Yes,Yes,6.0,200.0,4.0,2.0,3.0,3.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1800.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,12.0,85.0,3.0,1.0,3.0,8.0,Open Balcony,Available,Designer Renovation,12.0,12.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Amiryan Street,Yerevan
Panels,No,Yes,9.0,67.0,3.0,1.0,2.0,7.0,Closed Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,780.0,Avanarinj Microdistrict,Yerevan
Stone,No,Yes,9.0,45.0,2.0,1.0,3.0,8.0,Not Available,Available,Designer Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1150.0,Agatangeghos Street,Yerevan
Monolith,Yes,Yes,14.0,100.0,3.0,1.0,3.0,12.0,Open Balcony,Available,Designer Renovation,11.0,12.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Kanakerzeytun,Yerevan
Panels,No,Yes,9.0,45.0,2.0,1.0,2.0,5.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Yeznik Koghbatsi Street,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,3.0,2.0,Not Available,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Kentronakan Street,Yerevan
Stone,No,No,5.0,45.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1100.0,Vardanants Street,Yerevan
Monolith,Yes,Yes,10.0,91.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Major Renovation,12.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Arabkir Street,Yerevan
Monolith,Yes,Yes,10.0,70.0,2.0,1.0,3.0,4.0,Not Available,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Kentronakan Street,Yerevan
Panels,No,Yes,9.0,70.0,2.0,1.0,2.0,7.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,850.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,11.0,62.0,2.0,1.0,3.0,9.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,14.0,180.0,4.0,3.0,3.0,9.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1500.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,8.0,145.0,3.0,2.0,3.0,5.0,Open Balcony,Available,Designer Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1750.0,Northern Avenue,Yerevan
Stone,No,No,5.0,40.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1150.0,Amiryan Street,Yerevan
Monolith,Yes,Yes,14.0,78.0,3.0,1.0,3.0,5.0,Closed Balcony,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1150.0,Argishti Street,Yerevan
Monolith,Yes,Yes,9.0,140.0,3.0,2.0,3.0,7.0,Open Balcony,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1750.0,Northern Avenue,Yerevan
Stone,No,No,4.0,38.0,1.0,1.0,2.0,4.0,Open Balcony,Available,Cosmetic Renovation,11.0,11.0,12.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1170.0,Arzumanyan Street,Yerevan
Monolith,Yes,Yes,15.0,65.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Byuzand Street,Yerevan
Monolith,Yes,Yes,8.0,110.0,3.0,1.0,3.0,5.0,Open Balcony,Available,Designer Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,2250.0,Northern Avenue,Yerevan
Panels,Yes,Yes,17.0,80.0,3.0,1.0,3.0,11.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Davtashen I Community,Yerevan
Monolith,Yes,Yes,17.0,55.0,2.0,1.0,2.0,3.0,Not Available,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1350.0,Komitas Avenue,Yerevan
Monolith,Yes,Yes,14.0,80.0,2.0,1.0,3.0,10.0,Open Balcony,Available,Euro Renovation,12.0,12.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Nairi Zaryan Street,Yerevan
Monolith,Yes,Yes,14.0,38.0,1.0,1.0,3.0,11.0,Open Balcony,Not Furnitured,Major Renovation,11.0,11.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1040.0,Argishti Street,Yerevan
Monolith,Yes,Yes,14.0,65.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Designer Renovation,11.0,11.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Aram Street,Yerevan
Monolith,Yes,Yes,15.0,144.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,2000.0,Arabkir Street,Yerevan
Panels,No,Yes,9.0,45.0,1.0,1.0,2.0,2.0,Not Available,Available,Cosmetic Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,468.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,9.0,105.0,3.0,1.0,3.0,5.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,2000.0,Northern Avenue,Yerevan
Monolith,Yes,Yes,15.0,70.0,2.0,1.0,3.0,14.0,Open Balcony,Available,Designer Renovation,11.0,11.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Amiryan Street,Yerevan
Monolith,Yes,Yes,16.0,60.0,2.0,1.0,3.0,13.0,Open Balcony,Available,Designer Renovation,11.0,11.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Yeznik Koghbatsi Street,Yerevan
Monolith,Yes,Yes,12.0,50.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,800.0,Leningradyan Street,Yerevan
Monolith,Yes,Yes,17.0,75.0,3.0,1.0,3.0,5.0,Not Available,Available,Designer Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1500.0,Yekmalyan Street,Yerevan
Monolith,Yes,Yes,9.0,100.0,3.0,1.0,3.0,7.0,Open Balcony,Available,Designer Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1560.0,Mamikonyants Street,Yerevan
Monolith,Yes,Yes,16.0,130.0,3.0,1.0,3.0,13.0,Not Available,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1700.0,Byuzand Street,Yerevan
Stone,No,No,6.0,80.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Designer Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Saryan Street,Yerevan
Monolith,Yes,Yes,19.0,60.0,2.0,1.0,3.0,10.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Nikoghayos Tigranyan Street,Yerevan
Monolith,Yes,Yes,5.0,75.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Verin Antarayin Street,Yerevan
Panels,No,No,9.0,50.0,2.0,1.0,3.0,3.0,Closed Balcony,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Yeznik Koghbatsi Street,Yerevan
Panels,No,Yes,9.0,50.0,1.0,1.0,2.0,6.0,Open Balcony,Available,Euro Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,800.0,Tumanyan Street,Yerevan
Monolith,No,Yes,10.0,50.0,2.0,1.0,2.0,8.0,Open Balcony,Available,Euro Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Vardanants Street,Yerevan
Stone,No,No,5.0,55.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Saryan Street,Yerevan
Stone,No,No,4.0,70.0,2.0,1.0,3.0,3.0,Multiple Balconies,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Leo Street,Yerevan
Stone,No,No,4.0,60.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Koryun Street,Yerevan
Stone,No,No,4.0,35.0,1.0,1.0,2.0,2.0,Not Available,Available,Cosmetic Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,468.0,Ajapnyak,Yerevan
Monolith,Yes,Yes,15.0,65.0,2.0,1.0,3.0,9.0,Not Available,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Verin Antarayin Street,Yerevan
Monolith,Yes,Yes,13.0,60.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1560.0,Hovsep Arghutian Street,Yerevan
Panels,No,Yes,11.0,74.0,2.0,1.0,2.0,10.0,Open Balcony,Available,Major Renovation,11.0,10.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Agatangeghos Street,Yerevan
Monolith,Yes,Yes,6.0,130.0,3.0,1.0,3.0,3.0,Not Available,Available,Major Renovation,11.0,10.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,2500.0,Alek Manoukyan Street,Yerevan
Monolith,Yes,Yes,14.0,113.0,3.0,2.0,2.0,8.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1500.0,Gyulbenkyan Street,Yerevan
Monolith,Yes,Yes,14.0,110.0,3.0,1.0,2.0,9.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Tsarav Aghbyur Street,Yerevan
Monolith,Yes,Yes,14.0,86.0,3.0,2.0,2.0,8.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1600.0,Nalbandyan Street,Yerevan
Monolith,Yes,Yes,14.0,66.0,2.0,1.0,2.0,3.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Tsarav Aghbyur Street,Yerevan
Panels,No,Yes,9.0,75.0,3.0,1.0,2.0,5.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1700.0,Mesrop Mashtots Avenue,Yerevan
Monolith,Yes,Yes,14.0,70.0,2.0,1.0,2.0,4.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1700.0,Aram Street,Yerevan
Stone,No,No,3.0,60.0,3.0,1.0,2.0,1.0,Not Available,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Aghbyur Serob Street,Yerevan
Monolith,Yes,Yes,15.0,65.0,2.0,1.0,3.0,11.0,Multiple Balconies,Available,Euro Renovation,11.0,10.0,10.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1750.0,Kentronakan Street,Yerevan
Stone,No,No,5.0,80.0,2.0,1.0,3.0,2.0,Not Available,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1500.0,Agayan Street,Yerevan
Monolith,Yes,Yes,10.0,110.0,3.0,2.0,2.0,5.0,Open Balcony,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Nardos Street,Yerevan
Panels,No,Yes,7.0,50.0,2.0,1.0,2.0,5.0,Not Available,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,850.0,Arabkir Street,Yerevan
Stone,No,Yes,5.0,90.0,3.0,1.0,3.0,2.0,Open Balcony,Available,Designer Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Babayan Street,Yerevan
Stone,No,No,5.0,55.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1250.0,Hrachya Kochar Street,Yerevan
Monolith,Yes,Yes,8.0,71.0,3.0,1.0,3.0,2.0,Open Balcony,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Adonts Street,Yerevan
Stone,No,No,4.0,100.0,3.0,1.0,2.0,4.0,Open Balcony,Available,Designer Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Komitas Avenue,Yerevan
Stone,No,No,5.0,82.0,3.0,1.0,2.0,3.0,Not Available,Available,Euro Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Sundukyan Street,Yerevan
Monolith,Yes,Yes,10.0,41.0,2.0,1.0,3.0,10.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Adonts Street,Yerevan
Monolith,Yes,Yes,14.0,110.0,4.0,2.0,3.0,3.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,2080.0,Argishti Street,Yerevan
Monolith,Yes,Yes,17.0,65.0,2.0,1.0,3.0,11.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1430.0,Amiryan Street,Yerevan
Monolith,Yes,Yes,5.0,75.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Verin Antarayin Street,Yerevan
Monolith,Yes,Yes,16.0,109.0,3.0,2.0,3.0,9.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1500.0,Komitas Avenue,Yerevan
Monolith,Yes,Yes,15.0,90.0,3.0,2.0,3.0,14.0,Open Balcony,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1124.5,Komitas Avenue,Yerevan
Monolith,Yes,Yes,5.0,45.0,2.0,1.0,3.0,2.0,Not Available,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Verin Antarayin Street,Yerevan
Monolith,Yes,Yes,15.0,48.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1250.0,Argishti Street,Yerevan
Stone,No,No,6.0,170.0,5.0,2.0,3.0,5.0,Multiple Balconies,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,2600.0,Byron Street,Yerevan
Monolith,No,No,5.0,85.0,2.0,2.0,2.0,2.0,Multiple Balconies,Available,Cosmetic Renovation,10.0,10.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,910.0,Mkhitar Heratsi Street,Yerevan
Stone,No,Yes,8.0,60.0,2.0,1.0,2.0,6.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,900.0,Komitas Avenue,Yerevan
Panels,No,Yes,9.0,80.0,4.0,1.0,2.0,9.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1014.0,Malatiasebastia,Yerevan
Stone,No,No,5.0,55.0,2.0,1.0,2.0,2.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1400.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,16.0,210.0,4.0,1.0,3.0,14.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,4000.0,Nairi Zaryan Street,Yerevan
Monolith,Yes,Yes,17.0,150.0,4.0,2.0,3.0,7.0,Open Balcony,Available,Designer Renovation,11.0,11.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1500.0,Marshal Baghramyan Avenue,Yerevan
Monolith,Yes,Yes,16.0,60.0,2.0,1.0,3.0,13.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Tsitsernakaberd Highway,Yerevan
Monolith,Yes,Yes,8.0,70.0,3.0,1.0,3.0,2.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1560.0,Nikoghayos Adonts Street,Yerevan
Panels,No,Yes,9.0,55.0,2.0,1.0,2.0,3.0,Open Balcony,Available,Designer Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Tigran Mets Avenue,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,2.0,2.0,Open Balcony,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Marshal Baghramyan Avenue,Yerevan
Panels,No,Yes,10.0,47.0,2.0,1.0,2.0,6.0,Not Available,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1200.0,Sayat Nova Avenue,Yerevan
Stone,Yes,Yes,12.0,73.0,3.0,1.0,3.0,4.0,Not Available,Available,Designer Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Pushkin Street,Yerevan
Monolith,Yes,No,3.0,32.0,1.0,1.0,2.0,3.0,Closed Balcony,Available,Euro Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,950.0,Argishti Street,Yerevan
Panels,No,Yes,10.0,45.0,1.0,1.0,2.0,5.0,Not Available,Available,Designer Renovation,11.0,10.0,11.0,Daily,2022,11,24,Not Specified,Not Specified,Not Specified,950.0,Tumanyan Street,Yerevan
Stone,No,No,5.0,90.0,3.0,1.0,2.0,3.0,Not Available,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Manandyan Street,Yerevan
Monolith,Yes,Yes,11.0,85.0,3.0,1.0,2.0,8.0,Not Available,Available,Major Renovation,12.0,12.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1170.0,Davtashen Street,Yerevan
Stone,No,No,5.0,55.0,2.0,1.0,2.0,2.0,Not Available,By Agreement,Major Renovation,12.0,12.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,754.0,Grigor Hasratyan Street,Yerevan
Panels,No,Yes,14.0,100.0,3.0,1.0,2.0,10.0,Open Balcony,Available,Cosmetic Renovation,12.0,12.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,832.0,Hakob Hakobyan Street,Yerevan
Monolith,Yes,Yes,12.0,65.0,3.0,1.0,2.0,10.0,Not Available,Available,Major Renovation,12.0,12.0,12.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1000.0,Norashen District,Yerevan
